Dates,DJI_rv,FTSE_rv,GDAXI_rv,N225_rv,EUR_rv
1996-01-03,-10.879890084112771,-13.815510557964274,-10.223514722690888,-13.815510557964274,-13.815510557964274
1996-01-04,-9.435457521210425,-13.815510557964274,-10.115960460088774,-13.815510557964274,-13.815510557964274
1996-01-05,-10.077593424591484,-13.815510557964274,-10.416950004637048,-13.815510557964274,-13.815510557964274
1996-01-08,-11.431323323144884,-13.815510557964274,-11.00038635627637,-9.774051552977845,-13.815510557964274
1996-01-09,-10.157271723348488,-13.815510557964274,-10.429323062746642,-9.419653947332693,-13.815510557964274
1996-01-10,-9.629557808896088,-13.815510557964274,-10.226390647972082,-9.705988956825976,-13.815510557964274
1996-01-11,-9.92298997972539,-13.815510557964274,-10.368171229385744,-9.810053752169338,-13.815510557964274
1996-01-12,-9.658482972888265,-13.815510557964274,-10.440382866427674,-10.207638017565111,-13.815510557964274
1996-01-15,-10.745754971880086,-13.815510557964274,-10.152579063743772,-9.922060983716566,-13.815510557964274
1996-01-16,-10.243553124678272,-13.815510557964274,-10.805135947446757,-9.700182585823018,-13.815510557964274
1996-01-17,-10.190468344619811,-13.815510557964274,-10.183189823451356,-10.207884674929831,-13.815510557964274
1996-01-18,-10.285973272494449,-13.815510557964274,-10.501360962016356,-10.351617374742387,-13.815510557964274
1996-01-19,-10.902453479689965,-13.815510557964274,-10.23439922493498,-9.911773137331714,-13.815510557964274
1996-01-22,-10.411008496642602,-13.815510557964274,-11.055923649928419,-10.079236304545049,-13.815510557964274
1996-01-23,-10.752728769551526,-13.815510557964274,-10.837618643882271,-9.50170462859761,-13.815510557964274
1996-01-24,-10.143469402258745,-13.815510557964274,-10.280665364293762,-9.407242653223431,-13.815510557964274
1996-01-25,-10.553505041762671,-13.815510557964274,-9.457607368914578,-9.392274964979483,-13.815510557964274
1996-01-26,-10.84166065372872,-13.815510557964274,-9.665134994307824,-9.713201302405256,-13.815510557964274
1996-01-29,-11.340564743641115,-13.815510557964274,-9.92633016203728,-10.098334434175737,-13.815510557964274
1996-01-30,-10.845465170957226,-13.815510557964274,-10.30624247395027,-9.756327505067445,-13.815510557964274
1996-01-31,-10.074262842035484,-13.815510557964274,-10.140482273393685,-9.598146688091173,-13.815510557964274
1996-02-01,-10.75369592547879,-13.815510557964274,-10.386416790831618,-10.2671211611222,-13.815510557964274
1996-02-02,-10.21081533206567,-13.815510557964274,-10.40775696045104,-10.005431311677956,-13.815510557964274
1996-02-05,-10.617759104023204,-13.815510557964274,-9.348013668145372,-10.357413230754814,-13.815510557964274
1996-02-06,-10.571142959057855,-13.815510557964274,-10.31478689389545,-10.421602869709323,-13.815510557964274
1996-02-07,-10.822255581568594,-13.815510557964274,-10.359407494220477,-9.612817528443674,-13.815510557964274
1996-02-08,-10.441054809643111,-13.815510557964274,-9.972342147942229,-9.634178871783174,-13.815510557964274
1996-02-09,-9.707439159688482,-13.815510557964274,-9.84445824030397,-10.080011611408882,-13.815510557964274
1996-02-12,-10.325299200547603,-13.815510557964274,-10.534723855698784,-10.326629845858786,-13.815510557964274
1996-02-13,-9.809321110570636,-13.815510557964274,-10.8949355751986,-10.654704113225963,-13.815510557964274
1996-02-14,-10.018374142879077,-13.815510557964274,-10.647147517621761,-9.143246983408286,-13.815510557964274
1996-02-15,-10.411854585544793,-13.815510557964274,-10.91936048698204,-9.612438520261973,-13.815510557964274
1996-02-16,-10.221998648128473,-13.815510557964274,-10.308662463301614,-10.475387504544875,-13.815510557964274
1996-02-19,-10.103532058318633,-13.815510557964274,-10.655701214613325,-10.28723188199194,-13.815510557964274
1996-02-20,-9.997625035556192,-13.815510557964274,-9.816423614565517,-9.566155133308074,-13.815510557964274
1996-02-21,-10.114077198191897,-13.815510557964274,-9.931985505137085,-10.00152709489986,-13.815510557964274
1996-02-22,-10.480462660153385,-13.815510557964274,-10.325622761251418,-9.810827921033479,-13.815510557964274
1996-02-23,-9.51862693248393,-13.815510557964274,-9.856734193811125,-10.294258217132137,-13.815510557964274
1996-02-26,-9.637985286566328,-13.815510557964274,-9.950471293787126,-10.178268740161501,-13.815510557964274
1996-02-27,-9.764301070128909,-13.815510557964274,-10.179036428019142,-9.228121951449722,-13.815510557964274
1996-02-28,-10.197108506450492,-13.815510557964274,-10.546962466135634,-9.566936697176878,-13.815510557964274
1996-02-29,-9.441344524733136,-13.815510557964274,-10.393227436191172,-9.977510538636343,-13.815510557964274
1996-03-01,-9.126054986157799,-13.815510557964274,-10.317284405533721,-9.871125500055115,-13.815510557964274
1996-03-04,-10.463430271932317,-13.815510557964274,-10.626311548535462,-10.601999725811076,-13.815510557964274
1996-03-05,-10.290646128617201,-13.815510557964274,-10.135545018132579,-9.832659769390773,-13.815510557964274
1996-03-06,-10.325759618933906,-13.815510557964274,-10.59344654484961,-8.92482250444058,-13.815510557964274
1996-03-07,-10.514999170623112,-13.815510557964274,-10.704869344675771,-9.949143701896103,-13.815510557964274
1996-03-08,-8.878208943476725,-13.815510557964274,-8.935185213845537,-9.343326634069642,-13.815510557964274
1996-03-11,-9.051122939291604,-13.815510557964274,-9.09212884367722,-9.109110757376436,-13.815510557964274
1996-03-12,-9.136441974635513,-13.815510557964274,-9.54019955034012,-10.492010324442143,-13.815510557964274
1996-03-13,-9.857708742712044,-13.815510557964274,-10.081036878724534,-9.764405947108111,-13.815510557964274
1996-03-14,-10.719404865530382,-13.815510557964274,-11.045724352189039,-9.939868940738045,-13.815510557964274
1996-03-15,-10.518066998734904,-13.815510557964274,-9.322997882139143,-9.282088870886817,-13.815510557964274
1996-03-18,-10.140841759288966,-13.815510557964274,-10.05747521229288,-9.545216469599053,-13.815510557964274
1996-03-19,-9.933589613174437,-13.815510557964274,-10.022824988558057,-9.206259794587018,-13.815510557964274
1996-03-20,-10.074796305807483,-13.815510557964274,-10.240678705203164,-9.53991761113669,-13.815510557964274
1996-03-21,-10.720097557499042,-13.815510557964274,-10.528601786149832,-10.044206895676973,-13.815510557964274
1996-03-22,-11.200767644697638,-13.815510557964274,-10.007524158222965,-9.811999434016833,-13.815510557964274
1996-03-25,-10.648574526275782,-13.815510557964274,-10.665856803454222,-10.221265083225713,-13.815510557964274
1996-03-26,-10.523988690884513,-13.815510557964274,-10.14679413679163,-8.454543415852395,-13.815510557964274
1996-03-27,-10.443113294877513,-13.815510557964274,-10.102797760955722,-9.726000641502388,-13.815510557964274
1996-03-28,-10.319718843446003,-13.815510557964274,-10.216611130545163,-9.479135322672587,-13.815510557964274
1996-03-29,-10.992713582138364,-13.815510557964274,-10.00851937365548,-9.758383965482077,-13.815510557964274
1996-04-01,-10.805209943059928,-13.815510557964274,-10.636068598521806,-9.371058177569525,-13.815510557964274
1996-04-02,-11.089932134365364,-13.815510557964274,-10.809243684621991,-9.653400750356553,-13.815510557964274
1996-04-03,-11.309732312283604,-13.815510557964274,-10.680650063650779,-9.505501489599688,-13.815510557964274
1996-04-04,-11.270810118762377,-13.815510557964274,-11.155036416328976,-10.109267913144953,-13.815510557964274
1996-04-05,-9.301367358949648,-13.815510557964274,-10.375342216619895,-10.12599237839388,-13.815510557964274
1996-04-11,-8.680540681468466,-13.815510557964274,-9.942616228246905,-10.594638042777575,-13.815510557964274
1996-04-12,-10.107197347080978,-13.815510557964274,-10.851812834869598,-10.204634633350183,-13.815510557964274
1996-04-15,-10.832513400872148,-13.815510557964274,-11.449359808183628,-10.834188567814785,-13.815510557964274
1996-04-16,-10.600148007383078,-13.815510557964274,-11.034445369895286,-10.011757387544554,-13.815510557964274
1996-04-17,-9.929371975194659,-13.815510557964274,-10.16711893367598,-10.814082385748891,-13.815510557964274
1996-04-18,-10.014748912564244,-13.815510557964274,-10.108889078325218,-10.921489447778445,-13.815510557964274
1996-04-19,-10.769048540261844,-13.815510557964274,-10.385926461677268,-10.089098048459379,-13.815510557964274
1996-04-22,-10.777036825530569,-13.815510557964274,-11.22113814522645,-10.24972075873827,-13.815510557964274
1996-04-23,-11.023329488844514,-13.815510557964274,-10.670639379800976,-11.515697732044025,-13.815510557964274
1996-04-24,-10.58577035828265,-13.815510557964274,-10.522378568390268,-10.442059598940586,-13.815510557964274
1996-04-25,-10.027178107966758,-13.815510557964274,-10.833904705034943,-11.163831232106073,-13.815510557964274
1996-04-26,-10.41110569344607,-13.815510557964274,-10.761873138368957,-10.703125676949385,-13.815510557964274
1996-04-29,-11.036948102302384,-13.815510557964274,-10.8945671515273,-10.424331906491785,-13.815510557964274
1996-04-30,-10.811796566866768,-13.815510557964274,-10.186752913256091,-10.206559506163856,-13.815510557964274
1996-05-01,-10.724797977139739,-13.815510557964274,-9.751336671114007,-10.091569225441082,-13.815510557964274
1996-05-02,-10.015907774510852,-13.815510557964274,-9.44900885135523,-9.433015599908408,-13.815510557964274
1996-05-03,-9.942803440163315,-13.815510557964274,-9.548873937103563,-9.562453901114264,-13.815510557964274
1996-05-06,-9.833955999906319,-13.815510557964274,-11.358664873092092,-9.71117305689465,-13.815510557964274
1996-05-07,-10.458569191362141,-13.815510557964274,-10.961830959934598,-9.885939704036332,-13.815510557964274
1996-05-08,-9.131186811119932,-13.815510557964274,-10.738760064515859,-10.49648662985127,-13.815510557964274
1996-05-09,-9.941038748317752,-13.815510557964274,-10.84128239075171,-9.325242553254768,-13.815510557964274
1996-05-10,-10.864772443468546,-13.815510557964274,-10.274918612947296,-10.263803136509775,-13.815510557964274
1996-05-13,-10.733810994601276,-13.815510557964274,-10.857683891724852,-9.99997456097111,-13.815510557964274
1996-05-14,-10.529704622629488,-13.815510557964274,-10.75177845613557,-11.052474016649988,-13.815510557964274
1996-05-15,-10.445247725025363,-13.815510557964274,-11.116779832491973,-9.2122591975741,-13.815510557964274
1996-05-16,-10.618948556353576,-13.815510557964274,-10.935067983897738,-9.824862818517767,-13.815510557964274
1996-05-17,-10.911479445785778,-13.815510557964274,-10.78135303763824,-9.868909679142948,-13.815510557964274
1996-05-20,-10.596665847536123,-13.815510557964274,-10.78863131319543,-9.855628659514617,-13.815510557964274
1996-05-21,-10.755800984901551,-13.815510557964274,-10.480951195869823,-9.303078268594872,-13.815510557964274
1996-05-22,-10.319098968187777,-13.815510557964274,-9.823497739323633,-9.624435369758448,-13.815510557964274
1996-05-23,-9.87911448004106,-13.815510557964274,-10.46769276404486,-9.976147384330819,-13.815510557964274
1996-05-24,-10.651645093149053,-13.815510557964274,-11.16839648600687,-9.781206250274225,-13.815510557964274
1996-05-27,-10.21552297617534,-13.815510557964274,-11.273748638516917,-9.656570072672437,-13.815510557964274
1996-05-28,-9.912857789111602,-13.815510557964274,-11.391521220336932,-9.969921147898697,-13.815510557964274
1996-05-29,-10.2516240978385,-13.815510557964274,-11.656175524046818,-9.883634472559764,-13.815510557964274
1996-05-30,-9.844779027054251,-13.815510557964274,-11.139251411225477,-10.795745864831074,-13.815510557964274
1996-05-31,-9.708722764855208,-13.815510557964274,-11.001734688172721,-10.402200056281318,-13.815510557964274
1996-06-03,-10.571528014138604,-13.815510557964274,-10.777991057730905,-9.698027719210533,-13.815510557964274
1996-06-04,-11.099080712072194,-13.815510557964274,-11.303046986005842,-10.42148722016738,-13.815510557964274
1996-06-05,-11.337805078350765,-13.815510557964274,-11.327123417583445,-9.805946885121617,-13.815510557964274
1996-06-06,-10.535077386064252,-13.815510557964274,-9.950511556530202,-12.15158018669463,-13.815510557964274
1996-06-07,-9.496822267816126,-13.815510557964274,-9.392286667893709,-10.179510248180828,-13.815510557964274
1996-06-10,-10.429292775718388,-13.815510557964274,-11.299486637256477,-11.022126325011257,-13.815510557964274
1996-06-12,-10.473023064795514,-13.815510557964274,-10.254138690391295,-9.982875573623204,-13.815510557964274
1996-06-13,-10.387414939253274,-13.815510557964274,-10.307151175478541,-10.424609523737221,-13.815510557964274
1996-06-14,-10.489616116884255,-13.815510557964274,-10.43581436021779,-8.957576759794252,-13.815510557964274
1996-06-17,-10.586126813391793,-13.815510557964274,-11.188590006496378,-10.02586760494298,-13.815510557964274
1996-06-18,-11.082857904459578,-13.815510557964274,-11.110138584908494,-9.979857406534855,-13.815510557964274
1996-06-19,-10.66883312230687,-13.815510557964274,-11.197159387326035,-9.900586113368592,-13.815510557964274
1996-06-20,-10.320266232332195,-13.815510557964274,-10.806469127718627,-9.945703560072443,-13.815510557964274
1996-06-21,-10.944213860397003,-13.815510557964274,-11.19594786573667,-10.21963358358043,-13.815510557964274
1996-06-24,-10.932218571449514,-13.815510557964274,-11.510565107427093,-10.267781391842922,-13.815510557964274
1996-06-27,-10.675436832237047,-13.815510557964274,-10.353207636582885,-10.915023095535686,-13.815510557964274
1996-06-28,-10.612417200614225,-13.815510557964274,-10.93324889886075,-10.265729050873585,-13.815510557964274
1996-07-01,-11.044560979555786,-13.815510557964274,-11.076631924573023,-10.703823216807729,-13.815510557964274
1996-07-02,-10.810134632375286,-13.815510557964274,-10.903774553920966,-10.69587155223043,-13.815510557964274
1996-07-03,-10.81844404617212,-13.815510557964274,-11.71403766552919,-10.371037024222758,-13.815510557964274
1996-07-04,-10.870159407862792,-13.815510557964274,-11.47948694539003,-10.775891591870147,-13.815510557964274
1996-07-05,-10.924695801828543,-13.815510557964274,-9.50818678122377,-10.830019937068728,-13.815510557964274
1996-07-08,-10.009734707735984,-13.815510557964274,-10.828589128145559,-9.562228115394744,-13.815510557964274
1996-07-09,-11.066243063433118,-13.815510557964274,-11.110743171874354,-9.895796960378258,-13.815510557964274
1996-07-10,-9.922059044655798,-13.815510557964274,-10.972124947230187,-10.399880607064361,-13.815510557964274
1996-07-11,-8.863593750415404,-13.815510557964274,-10.305890310911348,-10.487612701028826,-13.815510557964274
1996-07-12,-9.392693754119358,-13.815510557964274,-10.3483866292465,-10.674291361203617,-13.815510557964274
1996-07-15,-8.890021269799085,-13.815510557964274,-10.415463839240873,-11.742465338017068,-13.815510557964274
1996-07-16,-7.52254138836128,-13.815510557964274,-9.367621947221398,-10.475143496441545,-13.815510557964274
1996-07-17,-9.6702093674217,-13.815510557964274,-10.526719626500546,-10.190880308249366,-13.815510557964274
1996-07-18,-9.48604714079961,-13.815510557964274,-10.177525112223686,-10.232983374131464,-13.815510557964274
1996-07-19,-9.698039434673047,-13.815510557964274,-10.342531548827989,-10.632278130941238,-13.815510557964274
1996-07-22,-9.469468639830005,-13.815510557964274,-8.193440208369877,-9.418639389672043,-13.815510557964274
1996-07-23,-9.12059036156608,-13.815510557964274,-10.963700987134631,-8.990394736523788,-13.815510557964274
1996-07-24,-8.69960554626161,-13.815510557964274,-9.50352887611999,-9.28495551859929,-13.815510557964274
1996-07-25,-10.180266410110582,-13.815510557964274,-9.922660126111404,-9.776087457257795,-13.815510557964274
1996-07-26,-10.458323161415834,-13.815510557964274,-11.418103194792632,-9.311019385929027,-13.815510557964274
1996-07-29,-11.45845602621604,-13.815510557964274,-11.361804562526643,-9.921348029827449,-13.815510557964274
1996-07-30,-10.394354575222769,-13.815510557964274,-10.198671516714366,-10.168904286068667,-13.815510557964274
1996-07-31,-10.588790547882649,-13.815510557964274,-10.663630527365605,-9.822872132005912,-13.815510557964274
1996-08-01,-9.751227825167947,-13.815510557964274,-10.433801464479815,-9.147515884909213,-13.815510557964274
1996-08-02,-10.76212204186622,-13.815510557964274,-9.920211165966258,-9.370099391999693,-13.815510557964274
1996-08-05,-11.033669466533471,-13.815510557964274,-11.538488676837947,-11.191939396359258,-13.815510557964274
1996-08-06,-10.85442048043667,-13.815510557964274,-10.994158094255328,-10.144111260842038,-13.815510557964274
1996-08-07,-10.708843403436788,-13.815510557964274,-11.134629753630646,-9.524984358204563,-13.815510557964274
